calcPhase t x y theta P11 P12 P13 P22 P23 P33 U1 U2 y1 y2
0 0.000000 0.000000 0.000000 0.000000 11.111111 0.000000 0.000000 25.000000 0.000000 0.007615 0.000000 0.000000 0.000000 0.000000 
1 0.200000 5.864306 0.000000 0.000000 13.316111 0.000000 0.000000 25.261895 0.044659 0.008319 5.864306 0.000000 0.000000 0.000000 
1 0.400000 5.864306 0.000000 0.000000 15.521111 0.000000 0.000000 25.261895 0.044659 0.009022 0.000000 0.000000 0.000000 0.000000 
1 0.600000 14.660766 0.000000 0.000000 17.726111 0.000000 0.000000 26.745659 0.124018 0.009725 8.796459 0.000000 0.000000 0.000000 
1 0.800000 24.923302 0.000000 0.026180 19.930302 -0.002418 -0.002612 30.315291 0.223785 0.010428 10.262536 0.026180 0.000000 0.000000 
1 1.000000 35.182321 0.268642 0.000000 22.135302 -0.029228 -0.002612 36.006764 0.330802 0.011131 10.262536 -0.026180 0.000000 0.000000 
2 1.000000 35.182321 0.268642 0.000000 22.135302 -0.029228 -0.002612 36.006764 0.330802 0.011131 0.000000 0.000000 80.000000 0.000000 
3 1.000000 33.250692 0.161894 -0.001978 13.882713 0.048714 -0.000835 12.366571 -0.121951 0.002460 0.000000 0.000000 0.000000 0.000000 
1 1.200000 44.979281 0.138698 -0.001978 16.087667 0.032403 -0.000778 9.844344 -0.093099 0.003163 11.728613 0.000000 0.000000 0.000000 
1 1.400000 56.707871 0.115503 -0.001978 18.292624 0.017622 -0.000704 8.095631 -0.056000 0.003866 11.728613 0.000000 0.000000 0.000000 
1 1.600000 68.436461 0.092307 -0.001978 20.497584 0.004754 -0.000615 7.313873 -0.010655 0.004569 11.728613 0.000000 0.000000 0.000000 
1 1.800000 77.232903 0.074911 -0.001978 22.702556 -0.004500 -0.000535 7.480001 0.029539 0.005272 8.796459 0.000000 0.000000 0.000000 
1 2.000000 88.961492 0.051715 -0.001978 24.907525 -0.013018 -0.000413 8.898206 0.091378 0.005976 11.728613 0.000000 0.000000 0.000000 
2 2.000000 88.961492 0.051715 -0.001978 24.907525 -0.013018 -0.000413 8.898206 0.091378 0.005976 0.000000 0.000000 80.000000 5.000000 
3 2.000000 87.370929 -1.129559 -0.042673 14.924492 -0.006072 -0.000246 5.074859 -0.040298 0.001441 0.000000 0.000000 0.000000 0.000000 
