calcPhase t x y theta rr rl P11 P12 P13 P14 P15 P22 P23 P24 P25 P33 P34 P35 P44 P45 P55 U1 U2 y1 y2
0 0.000000 0.000000 0.000000 0.000000 21.500000 21.500000 11.111111 0.000000 0.000000 0.000000 0.000000 25.000000 0.000000 0.000000 0.000000 0.007615 0.000000 0.000000 1.000000 0.000000 1.000000 0.000000 0.000000 0.000000 0.000000 
1 0.200000 6.003933 0.000000 0.000000 21.500000 21.500000 13.461352 0.000000 0.000000 0.139626 0.139626 25.000594 0.002127 0.000000 0.000000 0.008365 0.002493 -0.002493 1.000000 0.000000 1.000000 0.279253 0.279253 0.000000 0.000000 
1 0.400000 6.003933 0.000000 0.000000 21.500000 21.500000 15.772602 0.000000 0.000000 0.139626 0.139626 25.000594 0.002127 0.000000 0.000000 0.009102 0.002493 -0.002493 1.000000 0.000000 1.000000 0.000000 0.000000 0.000000 0.000000 
1 0.600000 15.009832 0.000000 0.000000 21.500000 21.500000 18.288555 0.000000 0.000000 0.349066 0.349066 25.003972 0.005947 0.001044 -0.001044 0.009904 0.006233 -0.006233 1.000000 0.000000 1.000000 0.418879 0.418879 0.000000 0.000000 
1 0.800000 25.516714 0.000000 0.026803 21.500000 21.500000 21.062824 0.000316 0.001480 0.628319 0.558505 25.013705 0.011518 0.004526 -0.004526 0.010789 0.011220 -0.009973 1.000000 0.000000 1.000000 0.558505 0.418879 0.000000 0.000000 
1 1.000000 36.019822 0.281585 0.000000 21.500000 21.500000 24.069351 0.068816 -0.003063 0.834523 0.840466 25.026963 0.016086 0.014837 -0.001218 0.011748 0.014960 -0.014960 1.000000 0.000000 1.000000 0.418879 0.558505 0.000000 0.000000 
2 1.000000 36.019822 0.281585 0.000000 21.500000 21.500000 24.069351 0.068816 -0.003063 0.834523 0.840466 25.026963 0.016086 0.014837 -0.001218 0.011748 0.014960 -0.014960 1.000000 0.000000 1.000000 0.000000 0.000000 80.000000 0.000000 
3 1.000000 33.656954 0.202942 -0.002436 21.414588 21.420907 14.619631 0.090788 -0.001445 0.507403 0.510003 18.156255 -0.215900 -0.279769 0.288470 0.003915 0.005043 -0.005148 0.975978 0.000981 0.976294 0.000000 0.000000 0.000000 0.000000 
1 1.200000 45.618845 0.173800 -0.002468 21.414588 21.420907 17.633754 0.079515 -0.001385 0.780368 0.782759 17.916317 -0.216519 -0.277617 0.284930 0.004797 0.009905 -0.010012 0.975978 0.000981 0.976294 0.558505 0.558505 0.000000 0.000000 
1 1.400000 57.580735 0.144281 -0.002499 21.414588 21.420907 20.952667 0.067341 -0.001294 1.053478 1.055369 17.675965 -0.216590 -0.272758 0.278665 0.005775 0.014767 -0.014875 0.975978 0.000981 0.976294 0.558505 0.558505 0.000000 0.000000 
1 1.600000 69.542625 0.114385 -0.002531 21.414588 21.420907 24.576371 0.054287 -0.001169 1.326737 1.327830 17.435841 -0.216031 -0.265193 0.269675 0.006851 0.019629 -0.019739 0.975978 0.000981 0.976294 0.558505 0.558505 0.000000 0.000000 
