calcPhase t x y theta P11 P12 P13 P22 P23 P33 U1 U2 y1 y2
0 0.000000 0.000000 0.000000 0.000000 11.111111 0.000000 0.000000 25.000000 0.000000 0.007615 0.000000 0.000000 0.000000 0.000000 
1 0.200000 6.003933 0.000000 0.000000 13.422361 0.000000 0.000000 25.274515 0.045723 0.008352 6.003933 0.000000 0.000000 0.000000 
1 0.400000 6.003933 0.000000 0.000000 15.733611 0.000000 0.000000 25.274515 0.045723 0.009089 0.000000 0.000000 0.000000 0.000000 
1 0.600000 15.009832 0.000000 0.000000 18.044861 0.000000 0.000000 26.835271 0.127581 0.009826 9.005899 0.000000 0.000000 0.000000 
1 0.800000 25.516714 0.000000 0.026803 20.355230 -0.003067 -0.002767 30.600938 0.230789 0.010563 10.506882 0.026803 0.000000 0.000000 
1 1.000000 36.019822 0.281585 0.000000 22.666480 -0.032140 -0.002767 36.616842 0.341779 0.011300 10.506882 -0.026803 0.000000 0.000000 
2 1.000000 36.019822 0.281585 0.000000 22.666480 -0.032140 -0.002767 36.616842 0.341779 0.011300 0.000000 0.000000 80.000000 0.000000 
3 1.000000 33.742525 0.168128 -0.002078 14.089805 0.050880 -0.000883 12.267428 -0.121512 0.002486 0.000000 0.000000 0.000000 0.000000 
1 1.200000 45.750364 0.143177 -0.002078 16.401002 0.033188 -0.000821 9.707637 -0.091666 0.003223 12.007865 0.000000 0.000000 0.000000 
1 1.400000 57.758204 0.118226 -0.002078 18.712203 0.017206 -0.000741 7.970884 -0.052970 0.003960 12.007865 0.000000 0.000000 0.000000 
1 1.600000 69.766043 0.093276 -0.002078 21.023409 0.003376 -0.000642 7.269707 -0.005424 0.004697 12.007865 0.000000 0.000000 0.000000 
1 1.800000 78.771923 0.074563 -0.002078 23.334626 -0.006516 -0.000554 7.552935 0.036872 0.005434 9.005899 0.000000 0.000000 0.000000 
1 2.000000 90.779762 0.049612 -0.002078 25.645842 -0.015421 -0.000418 9.221918 0.102118 0.006171 12.007865 0.000000 0.000000 0.000000 
2 2.000000 90.779762 0.049612 -0.002078 25.645842 -0.015421 -0.000418 9.221918 0.102118 0.006171 0.000000 0.000000 80.000000 5.000000 
3 2.000000 88.419432 -1.181241 -0.043132 15.186460 -0.007582 -0.000252 4.990199 -0.038955 0.001468 0.000000 0.000000 0.000000 0.000000 
1 2.200000 100.416130 -1.699008 -0.043132 17.493545 -0.121225 0.000508 4.271055 -0.021348 0.002205 12.007865 0.000000 0.000000 0.000000 
1 2.400000 110.913240 -2.152053 -0.016329 19.804418 -0.153313 0.000886 4.066436 0.001812 0.002942 10.506882 0.026803 0.000000 0.000000 
1 2.600000 119.917938 -2.299104 -0.016329 22.115376 -0.178906 0.001319 4.338213 0.028301 0.003679 9.005899 0.000000 0.000000 0.000000 
1 2.800000 125.921070 -2.397138 0.090884 24.407243 0.010473 -0.000686 4.827195 0.050296 0.004416 6.003933 0.107213 0.000000 0.000000 
1 3.000000 130.405436 -1.988455 0.171294 26.654992 0.341990 -0.004075 5.427615 0.069889 0.005153 4.502949 0.080410 0.000000 0.000000 
1 3.200000 136.321501 -0.965040 0.278507 28.819046 0.764938 -0.012580 6.580877 0.099633 0.005890 6.003933 0.107213 0.000000 0.000000 
2 3.200000 136.321501 -0.965040 0.278507 28.819046 0.764938 -0.012580 6.580877 0.099633 0.005890 0.000000 0.000000 80.000000 -25.000000 
3 3.200000 136.134976 -0.362695 0.302701 15.660003 1.132056 0.022439 3.606804 -0.018965 0.001129 0.000000 0.000000 0.000000 0.000000 
1 3.400000 146.164161 2.769401 0.329504 17.589738 2.089088 0.018601 3.583270 -0.007744 0.001866 10.506882 0.026803 0.000000 0.000000 
2 3.400000 146.164161 2.769401 0.329504 17.589738 2.089088 0.018601 3.583270 -0.007744 0.001866 0.000000 0.000000 80.000000 -30.000000 
3 3.400000 142.130384 2.615398 0.339404 11.561272 1.487766 0.015542 3.199917 -0.023605 0.001116 0.000000 0.000000 0.000000 0.000000 
1 3.600000 153.453239 6.613120 0.339404 13.509912 2.433180 0.011081 3.064610 -0.010970 0.001853 12.007865 -0.000000 0.000000 0.000000 
2 3.600000 153.453239 6.613120 0.339404 13.509912 2.433180 0.011081 3.064610 -0.010970 0.001853 0.000000 0.000000 80.000000 25.000000 
3 3.600000 153.186331 6.414630 0.329788 10.096776 1.540572 0.022535 2.708019 -0.018035 0.000993 0.000000 0.000000 0.000000 0.000000 
1 3.800000 164.547105 10.303284 0.329788 12.005388 2.531006 0.018675 2.668746 -0.006758 0.001730 12.007865 0.000000 0.000000 0.000000 
1 4.000000 174.487783 13.705857 0.356591 13.921274 3.433259 0.012331 2.984996 0.010272 0.002467 10.506882 0.026803 0.000000 0.000000 
1 4.200000 178.707462 15.277755 0.437001 15.780496 4.331063 0.007630 3.523858 0.020336 0.003204 4.502949 0.080410 0.000000 0.000000 
1 4.400000 182.787247 17.183512 0.517411 17.508181 5.281276 0.000494 4.297564 0.032873 0.003941 4.502949 0.080410 0.000000 0.000000 
1 4.600000 190.614299 21.638113 0.571017 19.232807 6.030686 -0.018687 5.697160 0.062732 0.004678 9.005899 0.053607 0.000000 0.000000 
1 4.800000 199.454281 27.316959 0.597821 21.196483 6.332428 -0.046350 7.871758 0.103356 0.005415 10.506882 0.026803 0.000000 0.000000 
2 4.800000 199.454281 27.316959 0.597821 21.196483 6.332428 -0.046350 7.871758 0.103356 0.005415 0.000000 0.000000 80.000000 -20.000000 
3 4.800000 198.696422 27.041895 0.598868 12.116276 4.507644 0.018026 4.288855 0.002961 0.000965 0.000000 0.000000 0.000000 0.000000 
1 5.000000 208.614612 33.810819 0.598868 13.493252 5.677765 0.011497 5.176914 0.012528 0.001702 12.007865 -0.000000 0.000000 0.000000 
1 5.200000 218.532802 40.579743 0.598868 14.992393 6.668883 -0.000022 6.327258 0.029406 0.002439 12.007865 0.000000 0.000000 0.000000 
1 5.400000 227.211219 46.502552 0.625671 16.603543 7.457119 -0.015027 7.797709 0.050175 0.003176 10.506882 0.026803 0.000000 0.000000 
2 5.400000 227.211219 46.502552 0.625671 16.603543 7.457119 -0.015027 7.797709 0.050175 0.003176 0.000000 0.000000 80.000000 25.000000 
3 5.400000 226.091404 45.468229 0.614102 10.812066 5.021385 0.022227 4.982001 0.006154 0.000947 0.000000 0.000000 0.000000 0.000000 
1 5.600000 229.771624 48.062943 0.694512 12.056352 6.207692 0.019497 5.982647 0.009432 0.001684 4.502949 0.080410 0.000000 0.000000 
1 5.800000 234.384841 51.905524 0.801725 13.037368 7.373083 0.012231 7.284129 0.016464 0.002421 6.003933 0.107213 0.000000 0.000000 
